id,boolkingid,timestamp,lat,lon,location
67207,99f26256ac995bbf71d24dc0b2a7d77cf426c6e8708a1e4ff4edebfea917daad,01-08-19 10:12,13.729146,100.537323,6432.467737
67215,4a6d67a712b8cb6ae1217c55cfc4b38d82ae75df063538e6bf16738ffb28f698,01-08-19 22:45,13.728376,100.539166,6215.701385
67218,4a6d67a712b8cb6ae1217c55cfc4b38d82ae75df063538e6bf16738ffb28f698,01-08-19 22:45,13.728579,100.53868,6272.860874
67219,4a6d67a712b8cb6ae1217c55cfc4b38d82ae75df063538e6bf16738ffb28f698,01-08-19 22:45,13.728607,100.538613,6280.741398
67220,4a6d67a712b8cb6ae1217c55cfc4b38d82ae75df063538e6bf16738ffb28f698,01-08-19 22:46,13.728674,100.538452,6299.666037
67223,4a6d67a712b8cb6ae1217c55cfc4b38d82ae75df063538e6bf16738ffb28f698,01-08-19 22:48,13.728999,100.537672,6391.369902
67224,4a6d67a712b8cb6ae1217c55cfc4b38d82ae75df063538e6bf16738ffb28f698,01-08-19 22:49,13.72902,100.537621,6397.354459
67225,4a6d67a712b8cb6ae1217c55cfc4b38d82ae75df063538e6bf16738ffb28f698,01-08-19 22:51,13.729329,100.536885,6483.983954
67256,752361ac14a6ba15210872c538aad4c691ab3350e048760d47a708a8a0111801,01-08-19 22:34,13.728574,100.538691,6271.549859
67258,752361ac14a6ba15210872c538aad4c691ab3350e048760d47a708a8a0111801,01-08-19 22:36,13.728828,100.538084,6342.959508
67268,259e6389224122588315061b086499a5c088bc9aab388f5d6b3a00a2a788992a,01-08-19 17:29,13.727248,100.541844,5900.324366
67276,259e6389224122588315061b086499a5c088bc9aab388f5d6b3a00a2a788992a,01-08-19 17:31,13.728027,100.540001,6117.486406
67279,259e6389224122588315061b086499a5c088bc9aab388f5d6b3a00a2a788992a,01-08-19 17:33,13.72836,100.539202,6211.425684
67280,259e6389224122588315061b086499a5c088bc9aab388f5d6b3a00a2a788992a,01-08-19 17:34,13.728428,100.539041,6230.393653
67281,259e6389224122588315061b086499a5c088bc9aab388f5d6b3a00a2a788992a,01-08-19 17:35,13.728497,100.538876,6249.803059
67283,259e6389224122588315061b086499a5c088bc9aab388f5d6b3a00a2a788992a,01-08-19 17:35,13.728542,100.538768,6262.501525
67285,259e6389224122588315061b086499a5c088bc9aab388f5d6b3a00a2a788992a,01-08-19 17:35,13.728619,100.538585,6284.047666
67325,9b2b94b7a2af2b345b656af8a91ae08c3b2c3bcff13e4acaba168ff35b7f2529,01-08-19 17:56,13.725696,100.545508,5468.258451
67326,9b2b94b7a2af2b345b656af8a91ae08c3b2c3bcff13e4acaba168ff35b7f2529,01-08-19 17:56,13.725709,100.545479,5471.708945
67420,c95e1b664fd43df460994fc6554e2cf8d78a28296512af3a2d5e43d207ea79f6,01-08-19 16:45,13.728129,100.539755,6146.38618
67423,c95e1b664fd43df460994fc6554e2cf8d78a28296512af3a2d5e43d207ea79f6,01-08-19 16:46,13.728308,100.539328,6196.633856
67427,c95e1b664fd43df460994fc6554e2cf8d78a28296512af3a2d5e43d207ea79f6,01-08-19 16:46,13.728509,100.538846,6253.308384
67428,c95e1b664fd43df460994fc6554e2cf8d78a28296512af3a2d5e43d207ea79f6,01-08-19 16:47,13.72855,100.53875,6264.638456
67429,c95e1b664fd43df460994fc6554e2cf8d78a28296512af3a2d5e43d207ea79f6,01-08-19 16:47,13.728597,100.538636,6278.019466
67430,c95e1b664fd43df460994fc6554e2cf8d78a28296512af3a2d5e43d207ea79f6,01-08-19 16:50,13.728723,100.538334,6313.531711
67435,c95e1b664fd43df460994fc6554e2cf8d78a28296512af3a2d5e43d207ea79f6,01-08-19 16:52,13.729103,100.537424,6420.553805
